user_id,age,gender,location,preferred_categories,preferred_brands,avg_spend,lifetime_orders
50,22,F,Hyderabad,"Accessories","Noise,Boat",1100,6
51,21,M,Chennai,"Electronics","Realme,Boat",8000,5
52,30,F,Kozhikode,"Fashion","Zara,H&M",2400,13
53,34,M,Mumbai,"Mobiles","Apple,Samsung",45000,16
54,28,F,Hyderabad,"Beauty","Nykaa,Lakme",1500,8
55,36,M,Bangalore,"Home Appliances","Whirlpool,LG",28000,7
56,25,F,Kannur,"Mobiles","OnePlus,Samsung",22000,11
57,31,M,Kochi,"Electronics","Mi,Realme",10000,9
58,29,F,Delhi,"Fashion","Levis,Forever21",2600,14
59,33,M,Chennai,"Home Appliances","LG,Whirlpool",29000,6
60,23,F,Kolkata,"Beauty","Himalaya,Lakme",900,4
61,27,M,Mumbai,"Accessories","Boat,Noise",1300,7
62,22,F,Kozhikode,"Fashion","H&M,Zara",2600,10
63,37,M,Hyderabad,"Mobiles","Samsung,Apple",33000,15
64,26,F,Kochi,"Beauty","Maybelline,Nykaa",1400,6
65,34,M,Kannur,"Electronics","Boat,Mi",9000,7
66,24,F,Chennai,"Accessories","Noise,Boat",1200,4
67,30,M,Delhi,"Mobiles","Realme,Samsung",16000,12
68,28,F,Kolkata,"Fashion","Zara,Levis",3100,9
69,31,M,Mumbai,"Home Appliances","LG,Whirlpool",28000,5
70,23,F,Kannur,"Beauty","Nykaa,Lakme",1100,6
71,25,M,Bangalore,"Electronics","OnePlus,Boat",13000,8
72,29,F,Kochi,"Fashion","H&M,Zara",2700,10
73,33,M,Hyderabad,"Mobiles","Apple,Realme",39000,16
74,27,F,Delhi,"Accessories","Boat,Noise",1500,7
75,22,M,Chennai,"Electronics","Mi,Boat",8500,4
76,31,F,Kozhikode,"Fashion","Levis,H&M",3000,12
77,35,M,Mumbai,"Mobiles","Samsung,Apple",35000,14
78,24,F,Hyderabad,"Beauty","Maybelline,Nykaa",1500,9
79,30,M,Kannur,"Electronics","Realme,Boat",9000,6
80,26,F,Kolkata,"Accessories","Noise,Boat",1200,7
81,32,M,Chennai,"Home Appliances","LG,Whirlpool",27000,6
82,28,F,Kochi,"Fashion","Zara,H&M",3200,13
83,37,M,Mumbai,"Electronics","OnePlus,Samsung",14000,11
84,23,F,Delhi,"Beauty","Lakme,Nykaa",1100,5
85,29,M,Hyderabad,"Mobiles","Realme,Mi",18000,8
86,22,F,Kannur,"Accessories","Boat,Noise",900,4
87,31,M,Bangalore,"Fashion","Levis,Zara",2600,10
88,27,F,Kozhikode,"Beauty","Nykaa,Maybelline",1300,7
89,34,M,Chennai,"Mobiles","OnePlus,Apple",34000,12
90,25,F,Kolkata,"Fashion","H&M,Levis",2900,11
91,28,M,Kochi,"Electronics","Boat,Realme",7500,6
92,33,F,Mumbai,"Beauty","Lakme,Maybelline",1500,10
93,21,M,Delhi,"Accessories","Noise,Boat",1000,3
94,36,F,Hyderabad,"Home Appliances","Whirlpool,LG",25000,7
95,24,M,Kannur,"Mobiles","Samsung,OnePlus",20000,11
96,30,F,Bangalore,"Fashion","Zara,H&M",3200,14
97,27,M,Kozhikode,"Electronics","Mi,OnePlus",9000,7
98,34,F,Chennai,"Beauty","Lakme,Nykaa",1400,8
99,29,M,Kolkata,"Mobiles","Apple,Samsung",47000,17
100,23,F,Kochi,"Accessories","Boat,Noise",1200,5
